service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72953,1,1,1,1,1,0,0,20260112,20260807
72954,0,0,0,0,0,1,0,20260117,20260808
72955,0,0,0,0,0,0,1,20260118,20260809
75396,1,1,1,1,1,0,0,20260112,20260807
75397,0,0,0,0,0,1,0,20260117,20260808
75398,0,0,0,0,0,0,1,20260118,20260809
82069,1,1,1,1,1,0,0,20260112,20260807
82070,0,0,0,0,0,1,0,20260117,20260808
82071,0,0,0,0,0,0,1,20260118,20260809
82072,1,1,1,1,1,0,0,20260102,20260109
82073,0,0,0,0,0,1,0,20260103,20260110
82100,0,0,0,0,0,0,1,20260101,20260111
82108,1,1,1,1,1,0,0,20260102,20260109
82109,0,0,0,0,0,1,0,20260103,20260110
82110,0,0,0,0,0,0,1,20260101,20260111
82111,1,1,1,1,1,0,0,20260102,20260109
82112,0,0,0,0,0,1,0,20260103,20260110
82113,0,0,0,0,0,0,1,20260101,20260111
