fare_id,price,currency_type,payment_method,transfers,transfer_duration
436759,6.95,USD,1,,
436760,6.00,USD,1,,
436761,2.55,USD,1,,
436762,2.55,USD,1,,
436763,2.55,USD,1,,
436764,2.55,USD,1,,
436765,7.55,USD,1,,
436766,2.55,USD,1,,
436767,2.55,USD,1,,
436768,2.55,USD,1,,
436769,2.55,USD,1,,
436770,2.55,USD,1,,
436771,3.00,USD,1,,
436772,3.40,USD,1,,
436773,4.05,USD,1,,
436774,4.40,USD,1,,
436775,4.75,USD,1,,
436776,5.15,USD,1,,
436777,5.80,USD,1,,
436778,6.25,USD,1,,
436779,4.75,USD,1,,
436780,6.20,USD,1,,
436781,6.30,USD,1,,
436782,5.60,USD,1,,
436783,5.95,USD,1,,
436784,5.35,USD,1,,
436785,4.80,USD,1,,
436786,4.60,USD,1,,
436787,4.10,USD,1,,
436788,3.25,USD,1,,
436789,2.55,USD,1,,
436790,2.65,USD,1,,
436791,5.30,USD,1,,
436792,5.30,USD,1,,
436793,5.30,USD,1,,
436794,5.30,USD,1,,
436795,5.45,USD,1,,
436796,5.50,USD,1,,
436797,5.70,USD,1,,
436798,5.80,USD,1,,
436799,5.95,USD,1,,
436800,11.35,USD,1,,
436801,6.80,USD,1,,
436802,7.75,USD,1,,
436803,8.10,USD,1,,
436804,6.50,USD,1,,
436805,7.35,USD,1,,
436806,6.05,USD,1,,
436807,6.40,USD,1,,
436808,12.50,USD,1,,
436809,6.85,USD,1,,
436810,5.90,USD,1,,
436811,2.55,USD,1,,
436812,2.55,USD,1,,
436813,2.55,USD,1,,
436814,2.55,USD,1,,
436815,2.55,USD,1,,
436816,7.55,USD,1,,
436817,2.55,USD,1,,
436818,2.55,USD,1,,
436819,2.55,USD,1,,
436820,2.55,USD,1,,
436821,2.80,USD,1,,
436822,3.20,USD,1,,
436823,3.85,USD,1,,
436824,4.25,USD,1,,
436825,4.65,USD,1,,
436826,5.05,USD,1,,
436827,5.70,USD,1,,
436828,6.10,USD,1,,
436829,4.65,USD,1,,
436830,6.10,USD,1,,
436831,6.25,USD,1,,
436832,5.55,USD,1,,
436833,5.80,USD,1,,
436834,5.30,USD,1,,
436835,4.75,USD,1,,
436836,4.50,USD,1,,
436837,3.85,USD,1,,
436838,3.05,USD,1,,
436839,2.55,USD,1,,
436840,2.55,USD,1,,
436841,5.10,USD,1,,
436842,5.10,USD,1,,
436843,5.10,USD,1,,
436844,5.10,USD,1,,
436845,5.35,USD,1,,
436846,5.40,USD,1,,
436847,5.60,USD,1,,
436848,5.70,USD,1,,
436849,5.85,USD,1,,
436850,11.15,USD,1,,
436851,6.70,USD,1,,
436852,7.65,USD,1,,
436853,7.95,USD,1,,
436854,6.45,USD,1,,
436855,7.30,USD,1,,
436856,5.90,USD,1,,
436857,6.25,USD,1,,
436858,12.35,USD,1,,
436859,6.70,USD,1,,
436860,5.70,USD,1,,
436861,3.55,USD,1,,
436862,3.05,USD,1,,
436863,2.70,USD,1,,
436864,2.55,USD,1,,
436865,2.55,USD,1,,
436866,2.55,USD,1,,
436867,7.55,USD,1,,
436868,2.55,USD,1,,
436869,2.55,USD,1,,
436870,2.55,USD,1,,
436871,2.55,USD,1,,
436872,2.95,USD,1,,
436873,3.55,USD,1,,
436874,4.05,USD,1,,
436875,4.50,USD,1,,
436876,4.85,USD,1,,
436877,5.50,USD,1,,
436878,5.95,USD,1,,
436879,4.45,USD,1,,
436880,5.90,USD,1,,
436881,6.25,USD,1,,
436882,5.55,USD,1,,
436883,5.65,USD,1,,
436884,5.30,USD,1,,
436885,4.75,USD,1,,
436886,4.50,USD,1,,
436887,3.80,USD,1,,
436888,2.55,USD,1,,
436889,2.55,USD,1,,
436890,2.55,USD,1,,
436891,4.80,USD,1,,
436892,4.80,USD,1,,
436893,4.80,USD,1,,
436894,4.80,USD,1,,
436895,5.00,USD,1,,
436896,5.15,USD,1,,
436897,5.45,USD,1,,
436898,5.50,USD,1,,
436899,5.70,USD,1,,
436900,10.85,USD,1,,
436901,6.50,USD,1,,
436902,7.45,USD,1,,
436903,7.80,USD,1,,
436904,6.45,USD,1,,
436905,7.30,USD,1,,
436906,5.75,USD,1,,
436907,6.10,USD,1,,
436908,12.20,USD,1,,
436909,6.55,USD,1,,
436910,5.60,USD,1,,
436911,3.80,USD,1,,
436912,3.35,USD,1,,
436913,3.00,USD,1,,
436914,2.55,USD,1,,
436915,2.55,USD,1,,
436916,2.55,USD,1,,
436917,2.55,USD,1,,
436918,7.55,USD,1,,
436919,2.55,USD,1,,
436920,2.55,USD,1,,
436921,2.55,USD,1,,
436922,2.55,USD,1,,
436923,3.25,USD,1,,
436924,3.75,USD,1,,
436925,4.35,USD,1,,
436926,4.75,USD,1,,
436927,5.40,USD,1,,
436928,5.85,USD,1,,
436929,4.35,USD,1,,
436930,5.80,USD,1,,
436931,6.30,USD,1,,
436932,5.60,USD,1,,
436933,5.55,USD,1,,
436934,5.35,USD,1,,
436935,4.80,USD,1,,
436936,4.60,USD,1,,
436937,4.00,USD,1,,
436938,3.20,USD,1,,
436939,2.55,USD,1,,
436940,2.55,USD,1,,
436941,4.50,USD,1,,
436942,4.50,USD,1,,
436943,4.50,USD,1,,
