fare_id,route_id,origin_id,destination_id,contains_id
436306,,79657,79657,
436307,,79657,79658,
436308,,79657,79660,
436309,,79657,79659,
436310,,79657,79635,
436311,,79657,79652,
436312,,79657,79651,
436313,,79657,79650,
436314,,79657,79649,
436315,,79657,79648,
436316,,79657,79647,
436317,,79657,79633,
436318,,79657,79632,
436319,,79657,79631,
436320,,79657,79611,
436321,,79657,79612,
436322,,79657,79613,
436323,,79657,79614,
436324,,79657,79615,
436325,,79657,79616,
436326,,79657,79617,
436327,,79657,79618,
436328,,79657,79619,
436329,,79657,79634,
436330,,79657,79636,
436331,,79657,79627,
436332,,79657,79626,
436333,,79657,79656,
436334,,79657,79625,
436335,,79657,79624,
436336,,79657,79623,
436337,,79657,79622,
436338,,79657,79621,
436339,,79657,79620,
436340,,79657,79637,
436341,,79657,79638,
436342,,79657,79639,
436343,,79657,79640,
436344,,79657,79641,
436345,,79657,79642,
436346,,79657,79643,
436347,,79657,79644,
436348,,79657,79645,
436349,,79657,79646,
436350,,79657,79630,
436351,,79657,79653,
436352,,79657,79654,
436353,,79657,79655,
436354,,79657,79628,
436355,,79657,79629,
436356,,79658,79657,
436357,,79658,79658,
436358,,79658,79660,
436359,,79658,79659,
436360,,79658,79635,
436361,,79658,79652,
436362,,79658,79651,
436363,,79658,79650,
436364,,79658,79649,
436365,,79658,79648,
436366,,79658,79647,
436367,,79658,79633,
436368,,79658,79632,
436369,,79658,79631,
436370,,79658,79611,
436371,,79658,79612,
436372,,79658,79613,
436373,,79658,79614,
436374,,79658,79615,
436375,,79658,79616,
436376,,79658,79617,
436377,,79658,79618,
436378,,79658,79619,
436379,,79658,79634,
436380,,79658,79636,
436381,,79658,79627,
436382,,79658,79626,
436383,,79658,79656,
436384,,79658,79625,
436385,,79658,79624,
436386,,79658,79623,
436387,,79658,79622,
436388,,79658,79621,
436389,,79658,79620,
436390,,79658,79637,
436391,,79658,79638,
436392,,79658,79639,
436393,,79658,79640,
436394,,79658,79641,
436395,,79658,79642,
436396,,79658,79643,
436397,,79658,79644,
436398,,79658,79645,
436399,,79658,79646,
436400,,79658,79630,
436401,,79658,79653,
436402,,79658,79654,
436403,,79658,79655,
436404,,79658,79628,
436405,,79658,79629,
436406,,79660,79657,
436407,,79660,79658,
436408,,79660,79660,
436409,,79660,79659,
436410,,79660,79635,
436411,,79660,79652,
436412,,79660,79651,
436413,,79660,79650,
436414,,79660,79649,
436415,,79660,79648,
436416,,79660,79647,
436417,,79660,79633,
436418,,79660,79632,
436419,,79660,79631,
436420,,79660,79611,
436421,,79660,79612,
436422,,79660,79613,
436423,,79660,79614,
436424,,79660,79615,
436425,,79660,79616,
